0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
19297,19279,19242,19186,19117,19018,18892,18737,18548,18333,18089,17824,17539,17231,16915,16597,16251,15885,15495,15088,14713,14342,13941,13540,13152,12803,12466,12169,11897,11654,11440,11239,11015,10832,10655,10492,10345,10205,10064,9914,9776,9630,9491,9353,9197,9063,8926,8793,8663,8526,8384,8246,8110,7988,7853,7712,7582,7446,7311,7178,7046,6921,6793,6660,6525,6398,6266,6130,5990,5860,5745
19297,19283,19250,19200,19131,19042,18931,18786,18594,18378,18137,17879,17606,17291,16961,16614,16233,15839,15445,15012,14580,14101,13599,13093,12639,12179,11697,11226,10807,10375,9961,9564,9156,8766,8334,7911,7471,7053,6611,6193,5763,5373,4987,4607,4240,3891,3550,3193,2879,2569,2272,2019,1796,1589,1386,1224,1091,983,884,812,746,684,642,606,564,528,495,473,443,422,406
19297,19276,19229,19165,19077,18952,18800,18612,18368,18109,17840,17511,17184,16840,16474,16064,15645,15175,14712,14201,13697,13160,12640,12128,11581,11032,10484,9969,9423,8884,8378,7848,7374,6889,6433,5995,5569,5190,4836,4516,4225,3927,3671,3426,3193,2971,2752,2555,2377,2205,2026,1878,1725,1574,1432,1306,1198,1070,967,863,781,710,648,593,560,529,497,466,438,409,382
19297,19286,19258,19211,19128,19029,18897,18739,18537,18307,18059,17757,17440,17089,16747,16413,16046,15650,15253,14820,14386,13925,13475,12992,12489,11972,11484,10993,10508,10005,9538,9062,8589,8086,7583,7089,6607,6111,5634,5162,4682,4237,3843,3467,3151,2864,2595,2362,2164,1990,1849,1719,1579,1456,1332,1204,1099,990,891,800,715,646,563,487,421,363,315,289,276,270,264
19297,19278,19245,19189,19095,18978,18850,18680,18489,18250,17981,17672,17321,16963,16582,16145,15659,15140,14625,14088,13536,12971,12433,11848,11249,10643,10103,9620,9172,8751,8314,7876,7472,7054,6673,6318,5989,5675,5361,5028,4724,4425,4151,3913,3675,3434,3201,2985,2783,2563,2366,2168,1998,1823,1654,1482,1342,1223,1114,1020,931,850,773,702,640,584,536,503,469,438,413
19297,19271,19222,19147,19043,18898,18739,18543,18332,18081,17799,17480,17111,16708,16274,15839,15383,14924,14380,13870,13318,12806,12277,11787,11304,10837,10359,9883,9415,8979,8545,8128,7699,7312,6933,6585,6234,5902,5607,5323,5079,4868,4655,4445,4235,4036,3841,3672,3490,3321,3146,2981,2807,2637,2471,2314,2168,2017,1879,1752,1624,1488,1375,1258,1126,1021,918,843,781,728,680
19297,19281,19240,19182,19099,18997,18859,18699,18500,18242,17950,17630,17300,16910,16513,16071,15593,15101,14594,14043,13487,12883,12293,11669,11064,10449,9860,9275,8711,8111,7543,7001,6457,5948,5469,5032,4611,4220,3921,3624,3348,3078,2863,2662,2463,2260,2059,1883,1714,1559,1412,1270,1124,1010,904,815,729,644,569,499,440,391,334,307,281,266,261,254,252,251,251
19297,19280,19247,19180,19080,18949,18788,18589,18350,18083,17799,17474,17129,16739,16347,15940,15521,15077,14615,14146,13684,13222,12766,12285,11814,11341,10823,10321,9827,9316,8799,8305,7831,7414,6939,6474,6036,5602,5171,4753,4330,3908,3509,3112,2744,2401,2123,1893,1692,1523,1353,1185,1024,869,736,616,531,459,408,360,327,309,294,278,272,269,268,268,268,268,268
19297,19278,19237,19178,19091,18961,18796,18602,18384,18104,17815,17501,17200,16859,16486,16128,15743,15332,14953,14542,14126,13689,13276,12823,12314,11812,11352,10919,10524,10124,9688,9228,8811,8418,8043,7664,7300,6932,6571,6234,5903,5621,5345,5082,4862,4655,4489,4322,4165,4016,3900,3771,3658,3539,3423,3307,3181,3082,2966,2868,2766,2681,2585,2507,2420,2333,2234,2149,2080,2009,1945
19297,19280,19247,19196,19125,19016,18877,18714,18531,18321,18090,17815,17506,17191,16887,16574,16254,15925,15536,15159,14756,14384,13999,13590,13185,12777,12394,12032,11696,11363,11053,10726,10418,10100,9798,9484,9169,8857,8532,8206,7885,7550,7255,6966,6665,6366,6083,5793,5538,5263,4977,4693,4426,4136,3829,3543,3251,2979,2715,2472,2248,2041,1854,1686,1531,1407,1291,1189,1094,1004,926
