0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
10,32,61,95,140,171,226,315,376,411,471,524,569,640,731,815,873,903,911,899,933,988,1024,1099,1150,1191,1203,1183,1144,1122,1116,1087,1044,1051,1012,935,899,848,803,719,664,661,631,585,541,489,438,392,363,334,286,242,208,180,159,154,152,143,133,133,137,117,91,84,86,95,92,76,75,78,78
10,28,55,107,166,221,271,313,384,439,468,538,588,604,627,685,747,769,768,804,883,900,927,944,919,915,901,893,863,854,884,857,864,891,894,886,859,805,731,712,680,639,624,585,545,531,504,459,434,411,407,407,406,443,425,373,343,325,305,299,305,304,306,298,271,275,290,253,186,122,93
10,24,57,93,127,176,232,292,363,434,487,561,634,698,769,837,884,915,946,1017,1054,1018,1017,1057,1074,1059,1025,985,952,928,897,878,871,842,867,883,806,738,703,652,623,622,607,583,559,527,501,494,484,428,379,372,348,327,304,296,292,249,209,198,208,203,185,186,172,147,128,110,92,66,55
10,33,69,120,163,214,271,307,369,423,447,470,490,533,591,626,633,647,684,739,757,756,768,740,739,767,774,763,758,747,698,646,652,652,631,634,614,577,549,535,545,552,542,540,548,552,524,512,543,553,536,556,562,552,564,539,522,528,552,561,521,491,453,429,426,402,365,367,389,359,297
10,25,54,95,152,224,269,316,372,460,541,564,562,584,638,639,646,711,765,805,836,822,792,799,806,831,871,865,880,882,871,865,839,813,802,812,798,800,795,748,700,696,714,703,669,611,562,534,527,520,509,474,419,397,403,408,376,359,345,326,319,289,285,283,254,230,207,168,148,142,120
10,30,55,90,137,180,226,267,322,403,448,465,525,595,643,714,772,785,806,872,895,920,955,965,1004,1037,1064,1093,1101,1058,999,961,895,849,813,764,726,706,678,588,530,503,448,380,326,286,254,245,242,236,242,246,266,254,218,217,223,220,227,238,222,206,201,214,232,235,223,199,195,187,167
10,28,55,104,152,212,282,328,376,451,548,621,682,727,794,868,869,918,928,887,946,969,925,923,953,971,959,989,1033,1074,1125,1095,1062,1062,1044,1011,964,887,808,778,718,651,603,509,457,451,441,419,390,383,354,304,273,251,222,216,221,209,202,201,192,164,148,140,128,115,93,75,59,46,35
10,29,60,102,155,216,274,345,429,494,549,591,641,685,698,713,737,749,707,725,770,799,809,734,677,693,688,658,641,630,633,637,621,581,573,573,567,569,569,576,541,543,565,565,596,620,618,605,614,632,612,574,563,538,516,489,430,364,335,335,322,292,259,252,242,221,201,203,211,216,221
10,30,68,122,166,225,317,384,431,498,570,644,708,744,785,849,917,943,992,1041,1050,1041,1061,1046,977,976,975,931,932,949,880,829,814,781,733,731,720,659,641,649,624,577,562,567,531,483,470,465,430,387,351,318,314,303,282,257,226,231,233,209,205,184,147,132,123,112,101,107,108,102,93
10,31,54,77,107,163,213,281,357,408,483,540,582,610,622,675,728,733,788,869,875,875,895,935,978,949,900,892,931,978,983,951,896,882,865,842,826,801,807,779,718,703,720,734,725,748,742,694,688,726,726,662,639,592,512,423,318,242,183,133,102,68,47,40,33,21,8,7,6,4,1
10,32,67,115,167,212,246,296,367,408,450,493,530,576,591,585,615,637,647,675,679,736,773,779,814,868,932,938,895,913,962,967,964,956,940,901,852,809,808,803,745,669,644,663,638,559,511,489,488,501,454,441,456,458,466,455,440,433,426,411,385,316,260,245,215,171,154,150,123,100,98
10,33,64,98,146,206,258,324,374,417,464,486,514,552,624,691,741,738,733,744,720,724,771,795,796,786,791,826,859,885,880,869,915,948,958,988,1008,1047,1062,1053,1035,987,923,886,850,805,723,662,626,565,517,453,399,354,320,290,279,283,239,168,113,88,74,66,59,56,53,47,40,33,27
10,31,65,124,187,246,291,336,408,472,551,629,682,734,776,818,833,867,884,900,910,928,997,971,932,959,956,954,964,990,1040,1042,1025,1019,985,958,954,945,913,893,873,844,813,737,686,655,604,546,509,467,398,313,222,165,138,113,102,86,72,68,58,57,58,55,52,48,35,30,41,39,27
10,28,60,105,153,210,282,357,406,490,575,625,669,685,741,806,851,909,927,902,878,917,978,994,1009,986,995,949,877,876,851,816,790,772,812,843,823,771,703,725,743,731,710,660,613,558,498,469,413,369,377,365,344,328,302,286,271,267,271,260,242,217,193,166,155,145,127,116,100,85,71
10,26,48,97,147,185,222,292,351,412,485,530,586,639,707,789,858,926,984,1019,1047,1041,1057,1093,1111,1116,1116,1106,1120,1161,1165,1179,1188,1155,1084,1027,972,936,921,863,812,733,688,683,602,519,486,470,418,366,332,282,226,175,138,125,109,82,61,36,17,12,9,4,2,1,1,0,0,0,0
10,36,71,107,164,226,271,351,454,507,571,645,688,741,802,843,873,849,823,816,775,794,822,842,838,809,806,825,805,757,724,710,733,761,768,741,752,765,729,732,720,697,668,637,626,625,597,564,536,460,408,382,385,370,338,323,319,303,265,228,209,200,170,146,156,166,153,124,119,128,129
10,30,58,112,170,214,285,368,427,483,551,634,712,775,830,868,923,967,967,964,983,975,981,1036,1038,1009,1026,1014,961,930,929,912,882,879,875,815,728,648,557,514,481,431,390,367,359,367,379,375,366,359,358,350,335,306,280,289,286,289,276,254,245,242,256,262,233,188,175,162,154,152,151
