0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
16904,16838,16691,16492,16232,15914,15539,15113,14656,14174,13649,13131,12631,12122,11610,11089,10557,10019,9482,8936,8405,7872,7348,6833,6326,5830,5341,4860,4415,4008,3620,3244,2895,2544,2217,1899,1586,1295,1063
16904,16841,16710,16509,16235,15902,15531,15106,14644,14131,13611,13079,12524,11971,11411,10840,10266,9691,9118,8563,8012,7466,6919,6420,5949,5501,5052,4603,4159,3734,3348,2978,2636,2324,2068,1861,1672,1488,1333
16904,16843,16707,16499,16225,15884,15460,14998,14483,13925,13339,12721,12055,11385,10695,9980,9239,8539,7852,7141,6444,5752,5102,4488,3969,3493,3058,2689,2355,2051,1771,1514,1270,1043,833,647,483,334,198
16904,16842,16692,16464,16154,15763,15298,14761,14183,13550,12892,12198,11461,10689,9893,9082,8315,7550,6772,6014,5295,4634,4083,3554,3091,2694,2352,2036,1748,1471,1200,949,717,496,359,253,167,103,52
16904,16831,16682,16452,16151,15783,15357,14861,14304,13714,13111,12475,11863,11252,10636,9994,9332,8653,7997,7381,6793,6218,5668,5160,4762,4471,4222,3979,3750,3525,3312,3106,2915,2744,2584,2431,2287,2147,2006
16904,16835,16685,16458,16147,15762,15308,14811,14256,13698,13095,12502,11893,11269,10624,9954,9281,8626,7963,7340,6720,6127,5548,4996,4457,3930,3418,2928,2481,2084,1707,1369,1094,898,723,568,427,330,237
16904,16834,16681,16448,16144,15774,15339,14858,14328,13802,13254,12692,12130,11552,10958,10410,9856,9356,8870,8417,7973,7563,7183,6795,6411,6038,5671,5303,4942,4597,4262,3940,3644,3374,3116,2896,2691,2488,2295
16904,16837,16695,16486,16198,15848,15438,14981,14462,13901,13293,12672,12052,11402,10724,10072,9410,8782,8164,7545,6928,6351,5816,5306,4839,4418,4008,3624,3261,2915,2603,2330,2098,1910,1743,1592,1449,1318,1194
16904,16835,16694,16477,16186,15810,15381,14892,14356,13828,13289,12731,12136,11535,10923,10293,9651,8988,8317,7654,6994,6380,5776,5258,4770,4330,3918,3518,3169,2834,2566,2325,2097,1889,1695,1517,1352,1192,1047
16904,16841,16699,16497,16233,15905,15511,15066,14571,14028,13442,12849,12242,11612,10966,10313,9647,8967,8261,7567,6885,6231,5610,5003,4458,3955,3468,3034,2648,2297,1962,1708,1462,1238,1043,883,737,599,491
16904,16835,16681,16461,16162,15788,15340,14817,14236,13640,12995,12339,11689,11024,10394,9766,9133,8511,7904,7303,6717,6135,5554,4994,4448,3905,3376,2866,2370,1915,1592,1308,1083,906,761,634,516,414,325
16904,16841,16692,16471,16173,15816,15397,14928,14418,13857,13297,12710,12116,11485,10829,10148,9436,8702,7947,7183,6408,5627,4855,4085,3404,2777,2221,1749,1392,1079,907,780,679,585,505,437,379,327,275
16904,16835,16687,16452,16153,15787,15378,14915,14405,13836,13248,12616,11963,11270,10560,9876,9192,8546,7931,7355,6820,6279,5736,5194,4645,4099,3548,2995,2444,1978,1600,1278,973,767,585,451,359,278,212
16904,16843,16694,16469,16180,15826,15419,14959,14450,13887,13266,12616,11950,11264,10561,9837,9132,8416,7689,6957,6273,5614,4997,4437,3934,3449,3001,2645,2339,2060,1819,1605,1398,1202,1016,840,681,542,425
16904,16840,16690,16459,16141,15751,15295,14802,14256,13666,13033,12382,11710,11019,10294,9557,8830,8154,7591,7094,6624,6186,5782,5402,5060,4769,4527,4296,4074,3854,3646,3441,3244,3055,2869,2691,2512,2341,2179
16904,16845,16699,16488,16233,15933,15597,15213,14809,14383,13933,13472,13001,12507,12030,11542,11052,10570,10080,9567,9058,8521,7985,7435,6891,6348,5840,5356,4903,4478,4062,3713,3430,3156,2927,2739,2556,2378,2211
16904,16838,16696,16485,16211,15873,15466,15019,14526,13991,13433,12901,12413,11924,11429,10939,10431,9905,9368,8810,8231,7644,7087,6548,6105,5680,5278,4906,4568,4258,3981,3728,3493,3268,3052,2842,2640,2448,2271
16904,16835,16688,16475,16195,15854,15482,15089,14663,14191,13691,13191,12677,12151,11613,11067,10506,9941,9367,8777,8197,7618,7048,6517,6017,5540,5089,4652,4259,3917,3593,3288,3011,2762,2531,2316,2116,1925,1741
16904,16841,16690,16460,16149,15771,15316,14811,14246,13646,13021,12357,11698,11031,10350,9645,8965,8311,7672,7063,6465,5868,5307,4759,4293,3851,3441,3047,2678,2338,2018,1737,1472,1230,1016,830,669,538,417
16904,16835,16694,16483,16202,15853,15435,14940,14382,13767,13118,12454,11786,11141,10492,9851,9256,8672,8094,7516,6944,6407,5901,5408,4919,4459,4042,3654,3290,2986,2714,2474,2250,2053,1870,1695,1534,1386,1253
16904,16837,16686,16454,16150,15788,15363,14872,14321,13713,13056,12365,11668,11010,10360,9735,9130,8524,7963,7424,6909,6430,5981,5594,5231,4889,4562,4259,3962,3677,3400,3138,2896,2671,2465,2271,2090,1926,1775
16904,16835,16685,16469,16178,15818,15394,14925,14398,13823,13198,12531,11891,11278,10660,10025,9365,8700,8060,7430,6800,6174,5595,5105,4659,4261,3912,3613,3318,3036,2762,2494,2245,2020,1813,1617,1459,1340,1220
