0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
10,32,74,139,213,307,391,480,553,647,745,831,922,971,1026,1067,1135,1245,1347,1398,1401,1367,1419,1455,1518,1535,1532,1559,1588,1628,1633,1622,1626,1602,1565,1507,1453,1383,1285,1199,1099,1066,990,970,906,878,839,812,769,714,651,583,507,419,334,284,266,247,223,180,170,148,140,123,109,101,93,100,97,98,80,71,54,42,30,24,21,17,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,27,70,125,205,281,381,461,568,651,751,841,910,980,994,1019,1045,1113,1162,1212,1239,1271,1293,1279,1323,1336,1373,1357,1305,1317,1346,1373,1364,1348,1348,1349,1266,1248,1140,1099,1041,1046,1061,1033,1015,948,891,797,740,705,691,660,631,589,585,548,545,531,503,473,424,407,375,357,337,321,296,273,241,188,140,100,84,73,70,61,51,33,24,13,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,25,56,107,176,249,329,414,530,607,683,745,834,893,919,943,974,1033,1065,1124,1132,1147,1160,1146,1164,1142,1174,1126,1130,1098,1140,1126,1140,1114,1118,1094,1088,1053,1036,1024,1000,977,961,952,965,953,967,943,901,845,812,783,750,725,711,697,658,606,536,497,467,452,413,398,385,380,351,328,297,293,278,282,257,248,224,215,196,179,179,179,172,144,130,118,115,95,82,71,75,74,66,50,47,36,33,26,23,19
10,30,76,129,188,266,360,457,562,650,742,812,883,941,979,1020,1044,1069,1075,1076,1046,1034,1059,1030,1043,1016,1066,1043,1050,1041,1072,1060,1034,974,932,914,886,892,894,916,879,866,834,850,822,799,753,718,693,685,654,622,573,575,579,575,535,513,513,532,536,515,515,498,494,453,419,399,382,372,348,341,345,350,351,324,300,288,279,273,251,243,242,236,245,241,225,199,181,176,166,148,140,133,131,129,124,110
10,22,48,92,150,230,315,404,473,565,663,776,856,904,948,989,1020,1072,1115,1199,1183,1193,1183,1213,1225,1240,1248,1250,1228,1219,1187,1158,1113,1073,1093,1108,1099,1034,999,990,973,1000,1000,993,948,906,924,911,940,917,948,943,958,917,894,827,771,706,675,620,545,465,388,334,286,259,229,196,175,163,151,143,137,139,141,131,133,135,136,116,95,91,90,90,74,60,42,30,23,14,10,4,1,0,0,0,0,0
10,30,61,96,149,223,301,378,454,546,638,715,772,841,881,961,999,1065,1083,1107,1118,1152,1186,1207,1242,1270,1306,1285,1316,1325,1347,1336,1351,1344,1348,1349,1347,1316,1261,1214,1177,1141,1130,1096,1070,986,927,875,817,776,753,749,723,688,674,647,615,565,511,485,491,490,487,456,427,379,321,284,235,196,142,97,75,63,53,48,37,21,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,64,117,186,261,358,445,561,627,711,764,850,932,1008,1084,1123,1190,1188,1215,1170,1160,1137,1142,1105,1096,1074,1088,1045,1045,1022,1014,986,968,942,907,902,899,875,844,823,842,844,840,824,790,754,736,726,736,720,703,674,651,636,626,615,613,606,608,596,590,578,558,543,508,494,461,421,398,372,372,360,363,363,361,349,333,300,283,252,233,190,166,153,140,126,95,84,57,38,14,4,2,0,0,0,0
10,26,68,121,198,278,363,437,505,578,655,747,828,901,948,974,1026,1077,1173,1253,1310,1322,1301,1300,1327,1340,1363,1383,1408,1391,1360,1344,1351,1351,1316,1323,1314,1330,1310,1304,1288,1234,1161,1080,1020,973,912,865,787,780,719,671,579,517,463,432,416,418,409,401,382,352,339,313,301,282,286,286,265,224,179,134,102,68,44,25,14,11,6,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,33,73,129,195,282,365,454,526,594,667,746,823,901,980,1084,1172,1223,1240,1269,1338,1400,1386,1357,1297,1318,1323,1364,1366,1333,1306,1246,1207,1132,1073,1030,987,997,1000,1021,996,964,945,927,900,859,844,830,813,813,774,765,712,693,645,621,582,562,536,514,478,419,415,404,402,376,338,317,288,265,214,181,164,172,163,145,127,113,96,58,25,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,26,60,107,174,247,328,409,508,583,669,738,844,901,974,1015,1089,1137,1180,1204,1258,1310,1360,1340,1348,1300,1308,1291,1298,1272,1208,1126,1072,1038,1070,1074,1090,1075,1075,1055,1050,1036,1012,1022,981,953,878,841,820,801,766,701,617,562,524,495,448,416,404,390,378,372,370,355,344,348,349,336,303,275,257,240,234,207,197,179,169,153,142,138,131,130,129,135,120,98,87,82,87,80,75,66,56,50,38,27,17,11
10,30,63,105,170,247,344,426,521,595,691,779,863,950,1022,1072,1110,1127,1169,1204,1280,1321,1346,1313,1303,1309,1331,1353,1378,1350,1307,1278,1286,1302,1247,1180,1118,1063,1055,1035,1061,1040,1023,976,946,930,901,859,838,816,846,824,819,809,804,804,735,643,532,465,411,364,317,282,249,217,204,189,173,145,120,108,92,84,77,70,60,49,41,34,24,17,12,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0
10,27,63,116,190,291,373,435,493,559,647,701,771,824,892,960,1014,1045,1066,1092,1142,1166,1178,1151,1147,1160,1204,1235,1239,1257,1250,1292,1288,1288,1317,1340,1362,1337,1353,1352,1318,1260,1210,1168,1149,1122,1090,1067,1054,1024,944,878,830,752,677,591,543,476,409,375,342,336,300,282,248,229,213,204,187,169,153,130,100,75,62,53,36,18,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
