0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0,0,0,0,0,1,7,20,43,68,103,145,199,251,314,382,459,540,632,731,836,956,1084,1218,1347,1494,1645,1781,1923,2055
0,0,0,0,0,0,1,6,17,37,68,106,147,192,243,297,354,413,477,544,611,677,740,806,873,941,1014,1088,1166,1252,1329
0,0,0,0,0,0,1,4,12,28,53,86,124,171,227,287,353,424,508,596,696,797,914,1037,1170,1294,1437,1587,1742,1911,2085
0,0,0,0,0,0,1,6,21,42,64,87,116,147,188,226,261,301,349,396,446,491,543,603,664,724,788,859,925,1001,1082
0,0,0,0,0,0,1,7,21,42,67,102,144,194,246,312,383,457,529,601,674,755,841,937,1033,1124,1219,1322,1415,1513,1608
0,0,0,0,0,0,1,5,19,38,68,100,148,195,252,317,387,469,556,653,764,874,991,1113,1249,1389,1540,1693,1856,2022,2215
0,0,0,0,0,0,1,6,21,41,72,108,154,202,270,335,410,489,582,678,787,903,1023,1147,1277,1416,1573,1732,1894,2047,2197
0,0,0,0,0,0,1,4,17,38,63,95,128,159,202,246,293,336,394,452,510,574,649,726,799,877,952,1041,1128,1212,1303
0,0,0,0,0,0,1,4,15,34,63,99,145,194,247,310,383,464,551,643,739,850,963,1080,1202,1324,1450,1571,1707,1843,1976
0,0,0,0,0,0,1,2,8,23,45,71,109,153,205,263,330,403,483,572,668,778,885,1001,1129,1266,1402,1560,1715,1889,2061
0,0,0,0,0,0,1,7,22,43,73,108,149,200,257,319,388,475,562,655,746,835,923,1016,1097,1184,1271,1369,1457,1543,1638
0,0,0,0,0,0,1,4,14,34,64,97,136,188,245,291,332,381,425,474,531,590,644,698,761,827,897,967,1041,1113,1187
0,0,0,0,0,0,1,7,20,40,68,105,142,192,248,310,383,472,563,658,758,864,980,1102,1239,1378,1527,1689,1845,2022,2202
0,0,0,0,0,0,1,7,19,38,67,103,143,191,242,304,376,455,528,608,698,777,862,961,1054,1156,1259,1366,1478,1597,1709
0,0,0,0,0,0,1,7,22,42,65,99,143,193,249,302,362,409,469,524,578,642,703,768,842,917,987,1067,1150,1227,1314
0,0,0,0,0,0,1,5,20,38,67,105,146,195,253,318,386,464,540,622,704,782,855,931,1008,1083,1169,1260,1347,1438,1537
