0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0,0,0,10,29,85,164,286,441,647,875,1159,1464,1830,2201,2628,3045,3529,4039,4600,5159,5736,6331,6993,7594,8198,8850,9462,10093,10692,11251,11786,12316,12755,13166,13564,13942,14276,14627,14960,15292,15625,15921,16231,16561,16867,17196,17528,17851,18163,18454,18760,19057,19349,19646,19928,20210,20443,20668,20875,21075,21244,21412,21567,21723,21878,22021,22157,22306,22428,22572,22698,22823,22951,23071,23197,23318,23419,23516
0,0,0,0,10,22,65,137,266,426,608,856,1136,1472,1839,2236,2706,3199,3755,4296,4857,5436,6045,6678,7305,7933,8578,9200,9820,10389,10995,11523,12054,12569,13083,13573,14051,14521,14978,15407,15799,16187,16563,16933,17266,17605,17910,18222,18510,18776,19045,19315,19573,19815,20058,20283,20510,20711,20924,21102,21287,21464,21636,21787,21939,22092,22238,22365,22493,22614,22742,22865,22989,23098,23221,23332,23425,23532,23630,23727
0,0,0,0,10,35,92,190,325,477,679,905,1192,1506,1870,2266,2717,3215,3719,4227,4798,5403,6033,6665,7350,8053,8794,9495,10234,10973,11740,12449,13182,13956,14726,15476,16209,16947,17662,18298,18883,19435,19941,20412,20880,21306,21703,22071,22421,22764,23088,23413,23686,23929,24172,24399,24598,24770,24929,25088,25230,25368,25486,25577,25671,25742,25788,25814,25824,25835,25838,25838,25838,25838,25838,25838,25838,25838,25838,25838
0,0,0,0,10,36,93,172,296,458,666,859,1122,1409,1715,2040,2376,2754,3171,3590,4019,4493,4912,5378,5864,6361,6869,7416,7936,8469,9057,9641,10216,10785,11355,11940,12508,13072,13662,14277,14848,15405,15998,16589,17196,17772,18327,18839,19345,19844,20312,20752,21182,21599,21954,22273,22571,22843,23085,23315,23513,23714,23896,24073,24218,24375,24521,24672,24792,24909,25026,25134,25233,25327,25428,25508,25585,25640,25693,25744
0,0,0,0,10,32,82,174,298,465,659,894,1156,1501,1880,2296,2760,3260,3801,4337,4925,5516,6120,6748,7380,8048,8745,9478,10211,10928,11666,12382,13077,13747,14378,14954,15513,15989,16450,16881,17269,17635,17988,18321,18638,18958,19295,19622,19972,20307,20610,20910,21212,21508,21791,22056,22341,22613,22882,23133,23407,23646,23859,24055,24230,24408,24563,24724,24870,24978,25087,25180,25262,25336,25398,25468,25522,25579,25629,25675
0,0,0,0,10,34,99,194,323,515,738,1010,1281,1587,1911,2260,2609,2991,3422,3879,4350,4830,5324,5847,6361,6940,7505,8080,8693,9274,9884,10482,11080,11685,12276,12829,13356,13894,14402,14881,15342,15785,16255,16702,17164,17641,18085,18512,18962,19407,19841,20319,20771,21172,21595,21968,22320,22672,22978,23269,23538,23800,23997,24178,24337,24485,24610,24702,24783,24857,24928,24997,25065,25134,25199,25260,25317,25370,25423,25466
0,0,0,0,10,38,89,172,288,452,628,888,1167,1482,1845,2263,2720,3207,3763,4351,4983,5663,6369,7102,7782,8492,9207,9889,10571,11189,11786,12295,12814,13276,13722,14127,14515,14884,15236,15581,15895,16223,16530,16846,17152,17442,17752,18037,18329,18607,18868,19142,19404,19689,19949,20198,20455,20679,20914,21150,21395,21644,21881,22106,22337,22581,22807,23046,23297,23503,23718,23920,24114,24290,24470,24623,24782,24928,25052,25147
0,0,0,0,10,28,79,166,300,469,650,909,1191,1520,1863,2287,2739,3234,3794,4347,4978,5616,6284,6976,7697,8393,9106,9824,10597,11328,12052,12823,13608,14321,15045,15729,16395,17026,17610,18177,18694,19170,19587,19946,20267,20549,20809,21056,21294,21518,21727,21937,22128,22311,22485,22650,22821,22993,23141,23281,23437,23576,23713,23843,23981,24115,24237,24341,24443,24530,24624,24713,24798,24881,24954,25014,25070,25136,25190,25259
0,0,0,0,10,36,89,175,304,467,659,889,1161,1455,1778,2128,2533,2979,3405,3847,4313,4794,5311,5817,6319,6830,7340,7837,8337,8851,9380,9907,10438,10982,11520,12062,12609,13132,13691,14235,14795,15309,15795,16236,16690,17090,17480,17869,18271,18620,18989,19320,19654,19964,20286,20588,20882,21186,21475,21746,22011,22276,22506,22733,22969,23194,23406,23631,23839,24035,24209,24377,24527,24670,24792,24925,25034,25134,25225,25311
0,0,0,0,10,28,72,150,270,416,622,862,1120,1423,1790,2180,2587,3082,3611,4168,4743,5338,5938,6557,7223,7893,8574,9328,10075,10799,11534,12280,13010,13704,14396,15077,15752,16361,16952,17492,17932,18396,18823,19271,19682,20075,20453,20806,21187,21548,21879,22200,22505,22784,23053,23303,23525,23726,23932,24115,24296,24454,24597,24729,24843,24957,25060,25171,25266,25345,25419,25494,25557,25611,25660,25703,25736,25774,25801,25820
0,0,0,0,10,41,112,204,351,529,739,988,1289,1609,1978,2390,2835,3358,3880,4461,5091,5743,6400,7109,7823,8569,9324,10107,10925,11795,12666,13542,14431,15331,16178,17031,17815,18544,19223,19820,20364,20881,21308,21683,22035,22359,22650,22934,23210,23465,23715,23939,24170,24364,24537,24703,24849,25000,25140,25269,25370,25451,25537,25603,25657,25702,25735,25765,25792,25809,25822,25829,25834,25842,25842,25842,25842,25842,25842,25842
0,0,0,0,10,38,91,171,298,463,675,930,1239,1595,1988,2412,2840,3302,3812,4368,4885,5463,6062,6683,7304,7941,8556,9212,9838,10438,11003,11589,12190,12786,13384,13951,14471,15030,15648,16247,16842,17460,18053,18644,19200,19764,20284,20766,21228,21623,21989,22326,22658,23001,23297,23594,23891,24162,24423,24656,24856,25036,25178,25314,25418,25508,25590,25655,25709,25740,25765,25784,25803,25817,25831,25838,25840,25840,25840,25840
0,0,0,0,10,37,101,194,328,504,702,950,1219,1529,1856,2245,2679,3123,3610,4114,4664,5226,5781,6334,6902,7455,8050,8648,9234,9808,10379,10993,11604,12191,12754,13274,13763,14238,14688,15134,15531,15894,16249,16604,16960,17298,17629,17938,18226,18534,18827,19101,19378,19638,19907,20162,20409,20653,20893,21132,21349,21547,21746,21927,22086,22243,22388,22550,22697,22837,22964,23096,23222,23352,23458,23570,23676,23785,23883,23981
0,0,0,0,10,36,91,188,320,491,696,970,1276,1611,1993,2445,2899,3404,3944,4491,5057,5636,6254,6798,7364,7988,8612,9239,9883,10501,11096,11708,12319,12913,13482,14043,14589,15116,15641,16159,16637,17116,17561,17965,18343,18713,19086,19420,19775,20093,20399,20714,21029,21349,21639,21928,22198,22430,22687,22932,23156,23377,23577,23773,23982,24184,24357,24516,24662,24798,24923,25047,25155,25257,25337,25404,25462,25514,25565,25611
0,0,0,0,10,29,86,173,309,466,671,932,1224,1543,1879,2241,2620,3033,3436,3876,4292,4732,5219,5673,6153,6581,6994,7445,7891,8340,8797,9239,9695,10201,10676,11182,11639,12147,12628,13128,13619,14111,14652,15140,15618,16089,16522,16935,17294,17636,17967,18298,18629,18958,19270,19573,19849,20120,20375,20641,20926,21192,21437,21682,21923,22155,22373,22597,22797,23020,23206,23391,23591,23784,23981,24169,24360,24526,24714,24863
0,0,0,0,10,32,93,178,306,469,683,912,1173,1481,1811,2188,2601,3033,3520,4042,4544,5049,5555,6108,6652,7219,7776,8370,8966,9542,10088,10650,11224,11800,12386,12905,13458,14008,14580,15113,15660,16194,16729,17268,17813,18347,18873,19358,19810,20225,20612,20958,21263,21551,21831,22098,22350,22579,22786,22977,23157,23347,23524,23686,23858,24006,24155,24307,24442,24578,24695,24788,24881,24972,25058,25143,25215,25293,25372,25451
0,0,0,0,10,31,79,178,311,484,692,940,1217,1518,1891,2307,2771,3274,3806,4333,4876,5474,6088,6706,7292,7876,8506,9167,9835,10502,11135,11747,12362,12929,13504,14050,14630,15172,15721,16261,16806,17323,17811,18289,18746,19196,19664,20089,20501,20907,21285,21629,21947,22252,22505,22739,22968,23151,23330,23485,23648,23811,23956,24094,24221,24337,24435,24532,24615,24701,24777,24851,24932,24995,25058,25120,25178,25230,25285,25346
0,0,0,0,10,37,92,176,297,451,647,882,1151,1455,1818,2187,2570,3029,3514,4018,4599,5175,5827,6456,7112,7755,8415,9109,9768,10472,11159,11856,12534,13208,13867,14511,15142,15732,16300,16850,17393,17902,18390,18867,19332,19771,20228,20636,21053,21462,21839,22183,22499,22789,23053,23292,23523,23713,23877,23997,24117,24243,24338,24439,24528,24609,24694,24787,24877,24960,25042,25103,25185,25250,25311,25370,25432,25489,25538,25585
0,0,0,0,10,38,91,182,320,482,678,933,1213,1555,1900,2275,2685,3109,3556,4053,4589,5136,5702,6310,6927,7525,8164,8801,9459,10092,10715,11343,11945,12511,13073,13592,14048,14477,14935,15397,15813,16202,16550,16907,17257,17582,17877,18177,18478,18725,18984,19245,19475,19702,19911,20124,20338,20518,20691,20876,21043,21206,21360,21522,21666,21811,21951,22091,22219,22372,22512,22641,22768,22885,23010,23135,23256,23376,23494,23620
0,0,0,0,10,29,69,137,251,394,569,795,1063,1372,1754,2161,2622,3144,3668,4221,4807,5382,6006,6634,7262,7929,8607,9263,9945,10622,11288,11940,12573,13180,13769,14379,14948,15486,15973,16395,16824,17199,17602,17961,18320,18657,18983,19308,19633,19923,20234,20539,20810,21067,21290,21512,21730,21953,22140,22330,22485,22655,22821,22964,23113,23258,23397,23534,23666,23795,23905,24014,24117,24221,24314,24407,24500,24585,24666,24758
0,0,0,0,10,33,84,180,297,468,666,902,1168,1455,1799,2199,2618,3073,3531,4033,4588,5129,5674,6243,6845,7466,8067,8666,9304,9969,10622,11207,11809,12411,13000,13579,14088,14595,15112,15583,16042,16463,16895,17310,17733,18137,18516,18868,19215,19548,19844,20125,20398,20658,20922,21161,21398,21632,21838,22049,22249,22443,22638,22826,23001,23177,23367,23552,23720,23863,24002,24118,24221,24337,24435,24529,24612,24710,24806,24882
