0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
19275,19253,19211,19136,19040,18904,18745,18560,18351,18098,17815,17520,17176,16844,16494,16109,15709,15249,14762,14311,13848,13395,12892,12393,11877,11357,10861,10318,9769,9233,8685,8147,7607,7083,6582,6100,5630,5199,4815,4431,4100,3749,3441,3130,2843,2563,2291,2031,1794,1577,1380,1211,1070,961,877,786,695,630,563,515,460,415,375,337,306,274,244,206,177,146,126,106,92,84,76,68,63,59,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
19275,19258,19215,19150,19053,18934,18769,18592,18366,18118,17841,17525,17208,16861,16531,16189,15816,15418,15027,14604,14179,13756,13311,12900,12433,11975,11527,11076,10670,10210,9730,9297,8846,8382,7949,7497,7116,6701,6357,6017,5660,5311,4956,4627,4296,4008,3736,3499,3268,3031,2808,2608,2400,2219,2023,1852,1674,1492,1349,1201,1068,942,826,711,605,505,415,332,264,227,192,164,143,119,94,82,68,61,58,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
19275,19260,19229,19168,19084,18980,18839,18670,18450,18232,17987,17705,17398,17094,16786,16455,16120,15753,15390,14996,14621,14243,13836,13475,13079,12694,12301,11953,11564,11203,10813,10438,10063,9699,9320,8969,8611,8267,7933,7587,7267,6956,6626,6315,5991,5673,5348,5048,4772,4503,4236,3989,3753,3511,3278,3056,2853,2672,2520,2356,2205,2068,1943,1807,1683,1563,1456,1355,1266,1163,1077,984,906,829,760,691,633,581,512,454,409,368,324,291,253,229,209,182,154,135,116,104,88,80,71,62,57,52
19275,19255,19209,19146,19067,18943,18786,18610,18381,18136,17868,17569,17253,16927,16590,16233,15883,15521,15158,14807,14475,14124,13748,13445,13081,12732,12379,12038,11682,11338,10966,10622,10304,9992,9690,9390,9106,8798,8496,8190,7919,7630,7356,7069,6808,6557,6316,6090,5864,5631,5436,5242,5058,4861,4663,4483,4326,4150,3970,3794,3614,3455,3279,3116,2961,2826,2697,2562,2444,2325,2214,2103,1980,1864,1752,1656,1564,1464,1377,1291,1213,1134,1049,977,889,808,752,690,627,576,524,479,436,391,348,307,267,238
19275,19263,19237,19183,19113,19007,18868,18709,18534,18303,18046,17758,17447,17142,16810,16458,16122,15738,15343,14923,14555,14150,13740,13342,12925,12500,12094,11675,11272,10875,10488,10114,9762,9415,9021,8654,8316,7987,7655,7326,7014,6655,6326,6021,5707,5420,5097,4796,4480,4180,3848,3537,3222,2931,2643,2395,2160,1937,1720,1540,1392,1255,1152,1058,969,893,829,773,718,666,622,575,529,483,434,398,350,299,262,234,204,171,144,114,97,84,72,67,61,58,57,57,57,57,57,57,57,57
19275,19255,19224,19179,19106,19001,18878,18728,18547,18332,18090,17832,17560,17249,16951,16599,16250,15886,15516,15143,14768,14364,13957,13561,13122,12687,12255,11837,11371,10930,10490,10035,9579,9146,8687,8230,7799,7371,6969,6585,6194,5828,5455,5098,4758,4469,4171,3883,3652,3395,3130,2903,2672,2442,2229,2025,1827,1664,1514,1342,1173,1024,855,717,597,476,396,313,241,200,171,144,125,108,91,77,71,70,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
19275,19255,19221,19158,19069,18960,18800,18624,18399,18173,17913,17635,17323,16981,16627,16239,15858,15437,15051,14643,14267,13891,13506,13125,12786,12410,12051,11698,11365,11006,10676,10351,10020,9708,9409,9113,8806,8510,8238,7962,7687,7396,7118,6847,6572,6328,6093,5836,5602,5357,5116,4899,4683,4465,4263,4057,3850,3650,3451,3242,3054,2861,2664,2496,2318,2156,2002,1857,1735,1604,1485,1363,1244,1122,1000,883,773,667,583,490,415,350,300,249,197,160,123,102,76,66,64,62,62,62,62,62,62,62
19275,19259,19217,19154,19061,18939,18791,18624,18434,18213,17969,17687,17385,17068,16739,16411,16042,15662,15238,14789,14352,13916,13488,13052,12589,12148,11689,11206,10740,10298,9846,9396,8947,8495,8080,7624,7181,6750,6314,5877,5462,5080,4716,4382,4060,3743,3470,3195,2956,2690,2476,2285,2111,1959,1822,1679,1543,1404,1270,1142,1022,918,803,709,617,521,423,331,256,199,152,122,97,84,78,72,70,67,66,65,65,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
19275,19252,19212,19146,19057,18930,18781,18603,18404,18187,17936,17658,17364,17035,16678,16280,15863,15455,15040,14594,14117,13640,13208,12760,12343,11890,11437,10979,10524,10104,9673,9278,8897,8541,8205,7867,7554,7208,6867,6533,6212,5903,5588,5285,5003,4729,4441,4173,3916,3628,3399,3151,2916,2706,2506,2295,2124,1944,1759,1610,1466,1340,1195,1062,938,819,724,621,531,459,407,350,295,235,187,150,108,74,54,50,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
19275,19259,19225,19168,19085,18978,18840,18676,18470,18257,18007,17732,17413,17106,16758,16398,16017,15621,15218,14813,14363,13908,13453,13023,12560,12153,11715,11269,10855,10443,10061,9729,9371,9023,8659,8297,7933,7584,7222,6878,6534,6186,5866,5512,5205,4913,4634,4364,4093,3833,3598,3392,3216,3036,2868,2721,2588,2452,2317,2198,2074,1945,1828,1719,1601,1480,1370,1265,1177,1095,1008,937,861,801,740,682,632,587,540,494,456,410,365,321,290,267,234,208,180,154,133,114,98,83,76,71,66,65
19275,19255,19222,19170,19085,18975,18826,18659,18454,18231,17968,17675,17368,17018,16653,16296,15908,15526,15127,14704,14246,13806,13358,12933,12503,12049,11602,11150,10671,10252,9843,9393,8966,8541,8146,7786,7423,7083,6731,6388,6022,5691,5365,5046,4745,4435,4145,3886,3597,3329,3040,2773,2510,2231,1969,1706,1496,1326,1174,1031,915,810,714,633,561,497,429,372,324,284,252,216,192,168,139,122,108,90,81,74,66,64,62,60,59,59,59,59,59,59,59,59,59,59,59,59,59,59
19275,19258,19222,19159,19068,18931,18786,18633,18438,18227,17986,17737,17456,17162,16845,16496,16148,15800,15430,15056,14658,14264,13878,13507,13117,12718,12303,11882,11479,11046,10632,10187,9758,9344,8870,8418,7982,7533,7065,6630,6215,5805,5420,5047,4656,4298,3957,3589,3244,2933,2645,2366,2103,1893,1689,1512,1350,1213,1103,975,871,767,675,589,519,446,376,315,259,207,162,129,107,87,67,54,51,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
19275,19257,19221,19158,19076,18964,18836,18682,18493,18263,18011,17695,17366,17002,16643,16226,15792,15325,14818,14307,13773,13224,12655,12079,11472,10871,10282,9730,9134,8566,7990,7469,6959,6459,5999,5530,5093,4667,4310,3996,3671,3399,3145,2912,2702,2507,2307,2131,1964,1818,1687,1548,1413,1292,1189,1090,996,922,843,785,720,664,618,568,520,483,439,395,360,326,294,265,238,214,188,160,134,110,88,74,66,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
19275,19259,19217,19144,19068,18939,18789,18621,18419,18183,17912,17624,17275,16918,16560,16162,15732,15268,14796,14297,13778,13231,12665,12098,11512,10989,10483,10015,9565,9117,8666,8238,7817,7425,7049,6694,6411,6132,5901,5685,5480,5310,5140,4963,4803,4647,4515,4362,4216,4091,3944,3822,3693,3568,3444,3320,3201,3093,2991,2901,2795,2686,2582,2488,2392,2295,2209,2101,2019,1926,1850,1778,1697,1632,1552,1489,1412,1329,1259,1190,1124,1080,1015,955,899,834,784,724,672,622,572,527,487,450,411,380,346,311
19275,19256,19224,19162,19074,18951,18811,18656,18454,18229,17998,17735,17419,17093,16713,16329,15904,15454,15010,14541,14030,13596,13099,12579,12065,11509,10982,10472,9975,9499,9066,8603,8203,7785,7398,7002,6606,6238,5881,5552,5249,4983,4701,4458,4207,3951,3703,3445,3202,2993,2778,2595,2424,2253,2103,1959,1825,1699,1568,1433,1321,1208,1119,1011,921,837,754,669,598,537,480,423,386,338,297,258,229,207,185,156,127,112,94,73,62,59,58,58,58,58,58,58,58,58,58,58,58,58
19275,19258,19225,19167,19088,18980,18847,18699,18532,18357,18157,17926,17677,17421,17133,16838,16499,16147,15755,15340,14904,14465,14054,13617,13146,12694,12228,11768,11316,10854,10426,10008,9558,9129,8726,8357,8020,7691,7376,7084,6793,6526,6264,6005,5725,5453,5225,5001,4768,4530,4318,4127,3922,3714,3526,3362,3209,3045,2889,2736,2592,2449,2306,2172,2048,1938,1826,1699,1580,1493,1379,1284,1196,1107,1017,933,857,785,727,669,618,567,518,474,434,392,363,321,288,256,234,209,186,161,131,110,97,86
19275,19259,19232,19196,19135,19046,18940,18790,18644,18465,18265,18056,17807,17534,17267,16974,16667,16354,16016,15679,15342,14965,14563,14178,13759,13329,12881,12436,11983,11544,11082,10623,10202,9760,9322,8902,8471,8038,7618,7208,6850,6459,6064,5733,5392,5068,4742,4425,4161,3883,3646,3445,3250,3051,2866,2688,2510,2349,2183,2024,1865,1717,1579,1429,1294,1138,999,869,727,612,502,404,334,263,207,164,136,113,101,86,74,64,59,56,53,53,53,53,53,53,53,53,53,53,53,53,53,53
19275,19264,19229,19177,19103,19004,18894,18741,18569,18355,18101,17833,17564,17265,16945,16641,16296,15969,15643,15322,15009,14647,14301,13952,13586,13216,12826,12419,12005,11565,11152,10727,10334,9913,9494,9104,8666,8282,7892,7519,7139,6771,6392,6035,5703,5345,5009,4723,4456,4175,3915,3699,3515,3326,3132,2968,2807,2648,2509,2391,2259,2140,2036,1921,1820,1725,1649,1569,1490,1403,1321,1249,1183,1121,1052,971,911,855,797,727,675,622,560,500,454,397,349,303,265,231,200,181,162,137,116,109,92,82
19275,19253,19216,19150,19068,18953,18807,18643,18440,18185,17916,17625,17305,16972,16593,16190,15774,15330,14857,14415,13906,13396,12890,12391,11892,11411,10904,10402,9923,9454,8999,8534,8105,7707,7294,6919,6557,6191,5837,5496,5142,4823,4529,4268,4021,3780,3563,3345,3128,2941,2776,2606,2442,2292,2151,2031,1894,1781,1692,1597,1510,1425,1347,1270,1204,1140,1079,1016,943,874,822,774,727,680,636,589,544,505,469,426,392,361,329,306,280,247,221,198,184,162,139,117,99,89,78,67,62,57
19275,19253,19213,19141,19051,18939,18786,18622,18416,18161,17931,17643,17359,17053,16718,16377,15999,15589,15169,14750,14276,13800,13293,12775,12231,11693,11176,10626,10043,9472,8870,8295,7733,7163,6612,6083,5601,5157,4727,4350,3982,3648,3327,3027,2745,2489,2252,2057,1877,1714,1539,1393,1239,1089,952,809,711,612,529,445,381,331,273,236,192,159,139,113,90,72,67,61,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
