0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
15620,15598,15553,15476,15371,15229,15092,14958,14836,14712,14579,14436,14290,14146,13987,13825,13658,13467,13280,13087,12891,12690,12479,12262,12023,11791,11544,11293,11022,10756,10477,10202,9910,9621,9321,9007,8705,8377,8037,7710,7369,7018,6651,6286,5919,5544,5145,4758,4359,3955,3546,3137,2732,2335,1964,1650,1351,1103,898,733,586,459,346,238,155,72,30,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
15620,15600,15551,15465,15352,15204,15030,14855,14674,14505,14331,14152,13964,13783,13585,13383,13177,12967,12754,12532,12310,12069,11816,11570,11321,11064,10800,10523,10247,9948,9665,9361,9030,8688,8374,8033,7695,7342,6982,6612,6243,5865,5476,5055,4653,4259,3870,3481,3119,2749,2379,2032,1693,1385,1078,799,562,395,282,192,122,80,49,29,14,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
15620,15603,15564,15503,15413,15327,15216,15095,14964,14813,14668,14518,14376,14229,14060,13901,13738,13551,13366,13176,12974,12759,12544,12319,12096,11855,11612,11368,11107,10861,10590,10307,10021,9731,9428,9128,8800,8489,8166,7834,7501,7159,6807,6439,6060,5709,5342,4975,4614,4242,3874,3505,3128,2752,2375,2027,1706,1411,1152,920,716,548,412,305,222,158,100,59,31,13,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,
15620,15598,15547,15455,15349,15224,15078,14930,14782,14638,14497,14350,14212,14067,13909,13741,13575,13395,13204,13013,12819,12611,12376,12162,11936,11701,11458,11207,10950,10692,10432,10146,9866,9571,9257,8949,8635,8304,7971,7640,7288,6937,6576,6204,5838,5462,5072,4676,4268,3863,3454,3047,2652,2294,1960,1667,1419,1195,1001,823,677,537,411,313,225,149,70,27,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
15620,15591,15552,15487,15401,15302,15183,15042,14883,14708,14511,14314,14111,13921,13718,13516,13332,13133,12922,12710,12490,12268,12027,11782,11541,11284,11013,10747,10462,10182,9897,9593,9274,8968,8664,8332,8010,7664,7315,6931,6574,6211,5811,5443,5049,4657,4254,3868,3461,3084,2685,2297,1916,1550,1240,972,768,596,448,333,251,190,141,102,69,44,22,11,4,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
15620,15600,15550,15474,15355,15228,15088,14932,14764,14613,14429,14265,14091,13919,13742,13544,13345,13134,12919,12696,12473,12243,12011,11780,11523,11252,10980,10715,10440,10160,9863,9573,9252,8912,8597,8273,7947,7603,7249,6890,6516,6151,5772,5374,4979,4567,4177,3785,3355,2944,2534,2119,1739,1372,1026,750,545,370,255,162,91,42,14,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
15620,15599,15550,15480,15393,15274,15145,15002,14852,14692,14540,14387,14226,14070,13910,13739,13564,13367,13177,12973,12763,12560,12334,12107,11865,11629,11379,11135,10871,10600,10311,10025,9736,9436,9126,8797,8475,8133,7789,7451,7092,6734,6366,5985,5622,5233,4848,4451,4047,3644,3251,2862,2505,2162,1831,1524,1285,1091,923,792,670,565,473,389,307,228,156,110,74,49,31,16,4,0,0,0,0,0,0,0,0,,,,,,,,,,
15620,15597,15546,15453,15332,15179,14997,14800,14573,14336,14104,13889,13689,13475,13265,13070,12861,12652,12423,12191,11955,11711,11456,11197,10945,10672,10399,10117,9832,9548,9248,8931,8613,8276,7937,7598,7269,6929,6568,6202,5830,5451,5078,4685,4265,3837,3441,3030,2626,2254,1913,1600,1303,1040,805,586,406,256,148,97,55,25,10,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
15620,15598,15542,15465,15365,15252,15106,14943,14761,14573,14384,14196,14010,13811,13614,13411,13203,12996,12782,12566,12328,12087,11860,11618,11352,11092,10821,10534,10237,9952,9648,9352,9044,8724,8394,8050,7723,7375,7013,6657,6272,5901,5505,5105,4694,4273,3856,3446,3061,2715,2379,2051,1743,1456,1188,930,703,500,349,215,135,77,43,17,7,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
15620,15601,15562,15493,15400,15270,15134,15003,14852,14684,14525,14366,14193,14014,13848,13676,13480,13282,13092,12873,12662,12444,12223,11985,11737,11488,11235,10987,10723,10457,10176,9874,9568,9266,8958,8640,8315,7982,7636,7280,6938,6571,6194,5829,5436,5045,4653,4250,3856,3453,3064,2673,2266,1867,1506,1161,882,672,506,362,241,165,104,64,36,15,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
